Date,Time,Horse,Odds,Terms,Result,R4,Multi
1 May,15:05,Theflyingbee,23,,L,1.00,M
2 May,15:40,Rumi,17,,L,1.00,M
2 May,16:15,Uncle Phil,15,,L,1.00,M
2 May,18:00,Lantry Lady,10,,L,1.00,M
2 May,18:35,Maxxum,21,5,W,1.00,M
2 May,19:05,Only By Night,11,5,P,1.00,M
3 May,15:40,Fr Gilligansvoyge,,,L,1.00,M
3 May,16:15,Toss Again,,,L,1.00,M
3 May,17:25,Gorthill,,,L,1.00,M
3 May,19:05,Arctic Gale,,,L,1.00,M
4 May,14:20,King's Code,29,,L,1.00,M
4 May,14:40,Look Back Smiling,10,5,P,1.00,M
4 May,14:55,Seven Questions,23,5,W,1.00,M
4 May,15:35,Haatem,26,5,P,1.00,M
4 May,13:45,Abate,17,,L,1.00,M
5 May,13:50,Carolina Reaper,15,,L,1.00,M
5 May,14:10,Fact Or Fable,21,,L,1.00,M
5 May,15:40,Sacred Angel,41,,L,1.00,M
5 May,17:35,Summer Gale,34,,L,1.00,M
6 May,14:30,Crooked Crown,12,,L,1.00,M
6 May,15:05,Bazball,11,,L,1.00,M
6 May,16:00,Gallimimus,19,,L,1.00,M
6 May,17:10,Keen Interest,17,5,P,1.00,M
7 May,14:55,Heross Du Seuil,15,,NR,1.00,M
7 May,16:00,Honey I'm Good,13,,L,1.00,M
7 May,17:05,Fire Dancer,12,5,P,1.00,M
7 May,17:35,Supposedtobe,29,,L,1.00,M
8 May,13:30,Tsunami Spirit,10,,L,1.00,M
8 May,14:05,Herecomesthebear,13,,L,1.00,M
8 May,14:35,Ziggy's Missile,15,,NR,1.00,M
9 May,13:30,Spoof,41,,L,1.00,M
9 May,13:50,Fat Sam,21,,L,1.00,M
9 May,16:00,Dunworley,15,,L,1.00,M
9 May,16:10,Al Zaraqaan,51,,L,1.00,M
9 May,16:45,Filibustering,10,,L,1.00,M
10 May,13:30,Victoria Falls,17,,L,1.00,M
10 May,15:05,Regal Reality,13,5,EP,0.90,M
10 May,15:40,Duke Of Oxford,15,,L,1.00,M
10 May,16:15,Star Legend,26,5,EP,0.80,M
11 May,13:30,Enthused,23,,L,1.00,M
11 May,13:50,Base Note,26,,L,1.00,M
11 May,14:05,Bellarchi,13,5,W,1.00,M
11 May,14:40,Rhoscolyn,19,,L,1.00,M
11 May,15:15,Pickanumber,21,5,W,1.00,M
12 May,15:15,Beaufort West,41,,L,1.00,M
12 May,15:28,Saddlers Quest,12,,L,1.00,M
12 May,15:50,Ez Tiger,15,5,W,0.90,M
12 May,16:38,Kingston Kid,23,,NR,1.00,M
12 May,17:13,League Clash,26,,L,1.00,M
13 May,13:47,Elladora,17,5,EP,1.00,M
13 May,14:30,Inishbiggle,15,,L,1.00,M
13 May,14:47,Red Force One,23,,L,1.00,M
13 May,15:35,Royale Dance,12,,L,1.00,M
14 May,14:30,Caro Des Flos,23,,L,1.00,M
14 May,15:00,Atakan,23,,L,1.00,M
14 May,17:35,No Quarter Asked,34,5,EP,0.75,M
15 May,14:15,Track Of Time,17,,L,1.00,M
15 May,14:45,Badri,23,,L,1.00,M
15 May,16:15,Blue Prince,15,5,P,1.00,M
15 May,17:20,Asgard's Captain,10,5,EP,1.00,M
16 May,14:15,Tees Spirit,15,5,EP,1.00,M
16 May,14:30,Torcello,8,,L,1.00,M
16 May,14:45,Symbol Of Light,21,,L,1.00,M
16 May,17:20,Per Contra,11,,NR,1.00,M
17 May,14:00,Gavi Di Gavi,12,,L,1.00,M
17 May,14:15,Betty Clover,13,5,W,1.00,M
17 May,14:45,King's Code,11,5,P,1.00,M
17 May,16:45,Desert Falcon,34,,L,1.00,M
17 May,17:10,Morindoo,26,,L,1.00,M
18 May,13:50,Bolster,23,,NR,1.00,M
18 May,14:40,Final Watch,15,,L,1.00,M
18 May,16:10,Juan Les Pins,17,,L,1.00,M
18 May,16:25,Alrazeen,17,5,P,1.00,M
18 May,17:00,Cooperation,23,,L,1.00,M
19 May,16:05,The Gambler,10,5,P,1.00,M
19 May,16:15,Zimmerman,10,,NR,1.00,M
19 May,18:45,Toxic,17,,NR,1.00,M
20 May,15:00,Clipsham Gold,15,,L,1.00,M
20 May,15:43,Begin The Luck,13,,L,1.00,M
20 May,16:13,Always Force It,23,,L,1.00,M
20 May,17:00,Madame Christine,11,,L,1.00,M
21 May,14:50,Irrelevant,17,,L,1.00,M
21 May,15:40,Charming Whisper,10,,L,1.00,M
21 May,15:50,Gallimimus,41,,L,1.00,M
21 May,16:40,Toxic,17,,L,1.00,M
21 May,16:55,La Rav,15,,L,1.00,M
22 May,15:08,Kadex,12,,NR,1.00,M
22 May,16:20,Impressor,10,,L,1.00,M
22 May,16:55,Bashful,12,,L,1.00,M
22 May,17:30,Retirement Beckons,8,,L,1.00,M
23 May,14:40,Rain Cap,7,5,EP,0.90,M
23 May,16:10,Laura's Breeze,34,,L,1.00,M
23 May,16:40,Petra Celera,13,,L,1.00,M
23 May,16:50,Nina Rapida,29,,L,1.00,M
23 May,17:50,Rum Runner,13,,L,1.00,M
24 May,15:00,Sweet Fantasy,10,,L,1.00,M
24 May,16:00,Diamond Cottage,17,5,P,1.00,M
24 May,18:10,Dynamite Katie,26,,L,1.00,M
25 May,13:30,Dragon Leader,12,,L,1.00,M
25 May,13:35,Jenever,26,5,EP,1.00,M
25 May,13:50,Equality,11,,L,1.00,M
25 May,15:30,Evaluation,17,,NR,1.00,M
25 May,15:55,Old Chums,13,,L,1.00,M
26 May,16:00,Blue Baloo,9,,L,1.00,M
26 May,17:20,Nick The Greek,34,,L,1.00,M
26 May,17:35,Got Grey,11,,L,1.00,M
27 May,14:55,Alqamar,21,,L,1.00,M
27 May,17:45,City Derby,9,5,P,1.00,M
27 May,17:55,Dark Company,13,,L,1.00,M
28 May,15:35,Little Venice,17,,L,1.00,M
28 May,16:35,Too Much,19,,L,1.00,M
28 May,16:45,Mr Fustic,17,,L,1.00,M
28 May,17:10,Spartan Fighter,19,,L,1.00,M
29 May,15:28,Chabadatika,12,,L,1.00,M
29 May,18:20,Supposedtobe,19,5,P,0.90,M
29 May,19:20,Alqamar,9,,NR,1.00,M
29 May,19:50,Robins Field,15,5,P,0.70,M
30 May,15:00,Jack The Savage,13,,L,1.00,M
30 May,17:10,Rubys Reward,15,,L,1.00,M
