Date,Time,Horse,Odds,Terms,Result,R4,Multi
1 Jan,13:45,Ballygeary,10,5,P,1.00,M
1 Jan,14:20,Cedar Hill,23,,L,1.00,M
1 Jan,14:40,My Bobby Dazzler,17,5,P,1.00,M
1 Jan,14:45,Balko Saint,17,,L,1.00,M
1 Jan,15:20,School For Scandal,15,,L,1.00,M
2 Jan,13:15,Rorys Story,26,,L,1.00,M
2 Jan,18:00,Athena Ballerina,23,,L,1.00,M
2 Jan,20:00,Thismydream,15,,L,1.00,M
2 Jan,20:30,Starfighter,10,5,P,1.00,M
3 Jan,16:55,Rivas Rob Roy,34,,L,1.00,M
3 Jan,18:30,Bell Shot,12,5,P,1.00,M
3 Jan,19:30,Dembe,13,,L,1.00,M
4 Jan,12:58,Maxs Champ,17,,L,1.00,M
4 Jan,14:58,Honey Im Good,17,,L,1.00,M
4 Jan,15:28,Steal My Sunshine,11,5,EP,1.00,M
4 Jan,15:58,Amalfi Skyline,10,5,W,1.00,M
5 Jan,12:10,Le Grand Vert,12,5,EP,1.00,M
5 Jan,13:55,City Derby,13,,L,1.00,M
5 Jan,14:30,Percy Willis,13,,L,1.00,M
6 Jan,13:40,Cantalupo Bella,26,,L,1.00,M
6 Jan,14:05,Western Soldier,21,,NR,1.00,M
6 Jan,15:25,Not Staying Long,17,5,EP,1.00,M
7 Jan,13:30,Walnut Beach,29,,NR,1.00,M
7 Jan,15:10,Ballycallan King,17,,NR,1.00,M
7 Jan,15:25,Godot,17,5,W,1.00,M
8 Jan,15:00,Bread And Butter,17,,L,1.00,M
8 Jan,16:05,Boudica Warrior,23,,L,1.00,M
9 Jan,17:00,Kats Bob,9,5,W,0.75,M
9 Jan,18:00,Fox Flame,9,,L,1.00,M
9 Jan,20:30,Another Angel,8,,L,1.00,M
10 Jan,12:20,Smart Connection,67,,L,1.00,M
10 Jan,13:05,Out The Glen,12,,L,1.00,M
10 Jan,15:50,Tara Iti,12,,NR,1.00,M
11 Jan,13:20,Lepashe,13,,L,1.00,M
11 Jan,14:30,Ladronne,10,,L,1.00,M
11 Jan,15:05,Tim Pat,19,,L,1.00,M
11 Jan,13:20,Lucky So And So,26,,L,1.00,M
11 Jan,13:30,Zestful Hope,13,5,L,1.00,M
11 Jan,14:30,Tribesmans Glory,15,5,P,1.00,M
11 Jan,15:07,Milltown Lily,19,,NR,1.00,M
13 Jan,12:40,Western Soldier,19,,L,1.00,M
13 Jan,13:49,Jai Froid,12,5,W,1.00,M
13 Jan,14:42,Jay Jay Reilly,34,5,W,1.00,M
13 Jan,15:35,Cyclop,26,,L,1.00,M
14 Jan,12:50,Tessy Lad,19,,L,1.00,M
14 Jan,14:35,Bestaline,17,5,P,0.80,M
15 Jan,14:07,Newmill Getaway,10,,L,1.00,M
15 Jan,14:37,Family Business,19,5,EP,1.00,M
15 Jan,15:37,Grandmaster Flash,23,,NR,1.00,M
17 Jan,12:30,Rock Of Star,10,,NR,1.00,M
17 Jan,13:35,Ceejaybe,8,,L,1.00,M
17 Jan,14:10,Steven Seagull,11,,L,1.00,M
17 Jan,15:55,Tiny Tantrum,10,5,EP,0.65,M
18 Jan,13:20,Buford,29,,L,1.00,M
18 Jan,15:05,Crown Dreams,15,,L,1.00,M
18 Jan,17:00,No Diggity,15,,NR,1.00,M
18 Jan,19:00,Ustath,11,,L,1.00,M
19 Jan,14:15,Sir Maxi,15,,L,1.00,M
19 Jan,18:45,Ramon Di Loria,13,,L,1.00,M
20 Jan,13:55,Kilbree Warrior,34,5,P,1.00,M
20 Jan,15:42,Ballydangan,19,,L,1.00,M
20 Jan,15:45,Smith,15,,L,1.00,M
21 Jan,14:10,Brideswell Lad,23,,L,1.00,M
21 Jan,14:25,Tanganyika,23,,L,1.00,M
21 Jan,15:20,Little Mixup,13,5,W,1.00,M
21 Jan,15:35,Blade Runner,17,,L,1.00,M
22 Jan,14:45,Blade Runner,10,,NR,1.00,M
22 Jan,15:05,Key Commander,17,,L,1.00,M
22 Jan,15:20,Oscarsman,21,,L,1.00,M
23 Jan,13:00,Limelight,17,,L,1.00,M
23 Jan,14:35,Ballydesmond,13,,L,1.00,M
23 Jan,15:20,Arizona Cardinal,13,5,W,1.00,M
24 Jan,15:00,Master Breffni,21,,L,1.00,M
24 Jan,15:45,Skinflint,15,,L,1.00,M
24 Jan,16:20,Breizh Alko,23,5,P,0.80,M
25 Jan,14:35,Zestful Hope,26,5,P,1.00,M
25 Jan,15:45,Risk And Roll,17,5,EP,1.00,M
